Date,Account ID,Invoice/CM #,Apply to Invoice Number,Line Description,Debit Amnt,Credit Amnt,Customer ID,Name,Telephone 1,Bill To Contact,Last Inv Date,Purchase Order No,Quote No,Transaction Ref,Good Thru,Sales Rep ID,Sales Rep Name,Invoice Note,Qty,Item ID,Item Description,Short Description,Account Description,Unit Price,Tax,Tax Type Description,Job ID,Job Description,Amount,Amt Recvd,Drop Ship,Ship To Name,Ship To Address Line 1,Ship To Address Line 2,Ship To City,Ship To State,Ship To Zip,Ship To Country,Description for Sales,Description for Purchases,Payment Status,Credit Memo,Return Authorization,UPC / SKU,Part Number,sku_type,Principal
02/01/2023,4000,COL23-02C-0001,,POTCHI GUMMY WORMS JAR 120PCSX12,,1250.54,JM000797,LUTCHIE STORE  (BALULANG),,,02/01/2023,,,COL23-02C-0001,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,749 (CASE),POTCHI G.WORMS JAR 120PCSX12,POTCHI GUMMY WORMS JAR 120PCSX12,Sales Income,1250.54,1,Regular,,,-1250.54,,,,,,,,,,POTCHI GUMMY WORMS JAR 120PCSX12,POTCHI GUMMY WORMS JARX120X450,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0001,,Cost of sales,941.77,,JM000797,LUTCHIE STORE  (BALULANG),,,02/01/2023,,,COL23-02C-0001,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,749 (CASE),POTCHI G.WORMS JAR 120PCSX12,Cost of sales,Cost of Sales,,,,,,941.77,,,,,,,,,,POTCHI GUMMY WORMS JAR 120PCSX12,POTCHI GUMMY WORMS JARX120X450,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0001,,Cost of sales,,941.77,JM000797,LUTCHIE STORE  (BALULANG),,,02/01/2023,,,COL23-02C-0001,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,749 (CASE),POTCHI G.WORMS JAR 120PCSX12,Cost of sales,Inventory,,,,,,-941.77,,,,,,,,,,POTCHI GUMMY WORMS JAR 120PCSX12,POTCHI GUMMY WORMS JARX120X450,,No,,,,Case,CIFPI
02/01/2023,1100,COL23-02C-0001,,LUTCHIE STORE  (BALULANG),1250.54,,JM000797,LUTCHIE STORE  (BALULANG),,,02/01/2023,,,COL23-02C-0001,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,,,,LUTCHIE STORE  (BALULANG),Accounts Receivable,,,,,,1250.54,,,,BALULANG,,,,,,,,Past Due,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0002,,V FRESH WINTER 50PCSX40,,3027.2,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,988 (CASE),V FRESH WINTER 50PCSX40,V FRESH WINTER 50PCSX40,Sales Income,1513.6,1,Regular,,,-3027.2,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0002,,Cost of sales,2455.34,,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,988 (CASE),V FRESH WINTER 50PCSX40,Cost of sales,Cost of Sales,,,,,,2455.34,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0002,,Cost of sales,,2455.34,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,988 (CASE),V FRESH WINTER 50PCSX40,Cost of sales,Inventory,,,,,,-2455.34,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0002,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,,2154.72,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,YAKEE! SUPER ASIM GUMBALL 25PCSX40,Sales Income,1077.36,1,Regular,,,-2154.72,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0002,,Cost of sales,2005.9,,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,Cost of sales,Cost of Sales,,,,,,2005.9,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0002,,Cost of sales,,2005.9,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,Cost of sales,Inventory,,,,,,-2005.9,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0002,,JUMBO REG. PACK 25PCSX40,,2128.3,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,839 (CASE),JUMBO REG. PACK 25PCSX40,JUMBO REG. PACK 25PCSX40,Sales Income,1064.15,1,Regular,,,-2128.3,,,,,,,,,,JUMBO REG. PACK 25PCSX40,JUMBO REG. PACKX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0002,,Cost of sales,1818.62,,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,839 (CASE),JUMBO REG. PACK 25PCSX40,Cost of sales,Cost of Sales,,,,,,1818.62,,,,,,,,,,JUMBO REG. PACK 25PCSX40,JUMBO REG. PACKX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0002,,Cost of sales,,1818.62,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,839 (CASE),JUMBO REG. PACK 25PCSX40,Cost of sales,Inventory,,,,,,-1818.62,,,,,,,,,,JUMBO REG. PACK 25PCSX40,JUMBO REG. PACKX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0002,,FRUTOS 50PCSX40,,2908.22,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,830 (CASE),FRUTOS 50PCSX40,FRUTOS 50PCSX40,Sales Income,1454.11,1,Regular,,,-2908.22,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0002,,Cost of sales,2260.32,,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,830 (CASE),FRUTOS 50PCSX40,Cost of sales,Cost of Sales,,,,,,2260.32,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0002,,Cost of sales,,2260.32,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,830 (CASE),FRUTOS 50PCSX40,Cost of sales,Inventory,,,,,,-2260.32,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0002,,CHOCO JOY 50PCSX40,,2947.88,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,809 (CASE),CHOCO JOY 50PCSX40,CHOCO JOY 50PCSX40,Sales Income,1473.94,1,Regular,,,-2947.88,,,,,,,,,,CHOCO JOY 50PCSX40,CHOCO JOYX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0002,,Cost of sales,2268.08,,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,809 (CASE),CHOCO JOY 50PCSX40,Cost of sales,Cost of Sales,,,,,,2268.08,,,,,,,,,,CHOCO JOY 50PCSX40,CHOCO JOYX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0002,,Cost of sales,,2268.08,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,809 (CASE),CHOCO JOY 50PCSX40,Cost of sales,Inventory,,,,,,-2268.08,,,,,,,,,,CHOCO JOY 50PCSX40,CHOCO JOYX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0002,,POTCHI STRAWBERRY 50PCSX40,,2947.88,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,890 (CASE),POTCHI STRAWBERRY 50PCSX40,POTCHI STRAWBERRY 50PCSX40,Sales Income,1473.94,1,Regular,,,-2947.88,,,,,,,,,,POTCHI STRAWBERRY 50PCSX40,POTCHI STRAWBERRY CREAMX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0002,,Cost of sales,2305.52,,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,890 (CASE),POTCHI STRAWBERRY 50PCSX40,Cost of sales,Cost of Sales,,,,,,2305.52,,,,,,,,,,POTCHI STRAWBERRY 50PCSX40,POTCHI STRAWBERRY CREAMX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0002,,Cost of sales,,2305.52,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,890 (CASE),POTCHI STRAWBERRY 50PCSX40,Cost of sales,Inventory,,,,,,-2305.52,,,,,,,,,,POTCHI STRAWBERRY 50PCSX40,POTCHI STRAWBERRY CREAMX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0002,,CHOCQUIK FIVE 10PCSX20,,2498.42,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,849 (CASE),CHOCQUIK FIVE 10PCSX20,CHOCQUIK FIVE 10PCSX20,Sales Income,1249.21,1,Regular,,,-2498.42,,,,,,,,,,CHOCQUIK FIVE 10PCSX20,CHOCQUIK FIVE X20X25,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0002,,Cost of sales,1918.5,,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,849 (CASE),CHOCQUIK FIVE 10PCSX20,Cost of sales,Cost of Sales,,,,,,1918.5,,,,,,,,,,CHOCQUIK FIVE 10PCSX20,CHOCQUIK FIVE X20X25,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0002,,Cost of sales,,1918.5,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,849 (CASE),CHOCQUIK FIVE 10PCSX20,Cost of sales,Inventory,,,,,,-1918.5,,,,,,,,,,CHOCQUIK FIVE 10PCSX20,CHOCQUIK FIVE X20X25,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0002,,CIOCO LUV-LUV 10PCSX12,,1492.44,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,138 (CASE),CIOCO LUV-LUV 10PCSX12,CIOCO LUV-LUV 10PCSX12,Sales Income,746.22,1,Regular,,,-1492.44,,,,,,,,,,CIOCO LUV-LUV 10PCSX12,CIOCO LUV-LUV,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0002,,Cost of sales,1147.76,,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,138 (CASE),CIOCO LUV-LUV 10PCSX12,Cost of sales,Cost of Sales,,,,,,1147.76,,,,,,,,,,CIOCO LUV-LUV 10PCSX12,CIOCO LUV-LUV,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0002,,Cost of sales,,1147.76,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,138 (CASE),CIOCO LUV-LUV 10PCSX12,Cost of sales,Inventory,,,,,,-1147.76,,,,,,,,,,CIOCO LUV-LUV 10PCSX12,CIOCO LUV-LUV,,No,,,,Case,CIFPI
02/01/2023,1100,COL23-02C-0002,,MACO COOP (VALENCIA),20105.06,,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,,,,MACO COOP (VALENCIA),Accounts Receivable,,,,,,20105.06,,,MACO MPC 2, Valencia Bukidnon (P5),,,,,,,,Past Due,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,,1077.36,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,YAKEE! SUPER ASIM GUMBALL 25PCSX40,Sales Income,1077.36,1,Regular,,,-1077.36,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0003,,Cost of sales,1002.95,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,Cost of sales,Cost of Sales,,,,,,1002.95,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0003,,Cost of sales,,1002.95,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,Cost of sales,Inventory,,,,,,-1002.95,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,PINTOORA GUMBALL 25PCSX40,,1077.36,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,877 (CASE),PINTOORA GUMBALL 25PCSX40,PINTOORA GUMBALL 25PCSX40,Sales Income,1077.36,1,Regular,,,-1077.36,,,,,,,,,,PINTOORA GUMBALL 25PCSX40,PINTOORA GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,CHOCO JOY 50PCSX40,,1473.94,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,809 (CASE),CHOCO JOY 50PCSX40,CHOCO JOY 50PCSX40,Sales Income,1473.94,1,Regular,,,-1473.94,,,,,,,,,,CHOCO JOY 50PCSX40,CHOCO JOYX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0003,,Cost of sales,1134.04,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,809 (CASE),CHOCO JOY 50PCSX40,Cost of sales,Cost of Sales,,,,,,1134.04,,,,,,,,,,CHOCO JOY 50PCSX40,CHOCO JOYX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0003,,Cost of sales,,1134.04,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,809 (CASE),CHOCO JOY 50PCSX40,Cost of sales,Inventory,,,,,,-1134.04,,,,,,,,,,CHOCO JOY 50PCSX40,CHOCO JOYX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,FROOTY RAINBOW POP 25PCSX40,,1275.65,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,865 (CASE),FROOTY RAINBOW POP 25PCSX40,FROOTY RAINBOW POP 25PCSX40,Sales Income,1275.65,1,Regular,,,-1275.65,,,,,,,,,,FROOTY RAINBOW POP 25PCSX40,FROOTY RAINBOW POPX40,,No,,,,Case,CIFPI
