Date,Account ID,Invoice/CM #,Apply to Invoice Number,Line Description,Debit Amnt,Credit Amnt,Customer ID,Name,Telephone 1,Bill To Contact,Last Inv Date,Purchase Order No,Quote No,Transaction Ref,Good Thru,Sales Rep ID,Sales Rep Name,Invoice Note,Qty,Item ID,Item Description,Short Description,Account Description,Unit Price,Tax,Tax Type Description,Job ID,Job Description,Amount,Amt Recvd,Drop Ship,Ship To Name,Ship To Address Line 1,Ship To Address Line 2,Ship To City,Ship To State,Ship To Zip,Ship To Country,Description for Sales,Description for Purchases,Payment Status,Credit Memo,Return Authorization,UPC / SKU,Part Number,sku_type,Principal
02/01/2023,5000,COL23-02C-0003,,Cost of sales,1000,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,865 (CASE),FROOTY RAINBOW POP 25PCSX40,Cost of sales,Cost of Sales,,,,,,1000,,,,,,,,,,FROOTY RAINBOW POP 25PCSX40,FROOTY RAINBOW POPX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0003,,Cost of sales,,1000,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,865 (CASE),FROOTY RAINBOW POP 25PCSX40,Cost of sales,Inventory,,,,,,-1000,,,,,,,,,,FROOTY RAINBOW POP 25PCSX40,FROOTY RAINBOW POPX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,FROOTY CHOCOLICIOUS 20PCSX50,,1239.3,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,868 (CASE),FROOTY CHOCOLICIOUS 20PCSX50,FROOTY CHOCOLICIOUS 20PCSX50,Sales Income,1239.3,1,Regular,,,-1239.3,,,,,,,,,,FROOTY CHOCOLICIOUS 20PCSX50,FROOTY CHOCOLICIOUSX50,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0003,,Cost of sales,940,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,868 (CASE),FROOTY CHOCOLICIOUS 20PCSX50,Cost of sales,Cost of Sales,,,,,,940,,,,,,,,,,FROOTY CHOCOLICIOUS 20PCSX50,FROOTY CHOCOLICIOUSX50,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0003,,Cost of sales,,940,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,868 (CASE),FROOTY CHOCOLICIOUS 20PCSX50,Cost of sales,Inventory,,,,,,-940,,,,,,,,,,FROOTY CHOCOLICIOUS 20PCSX50,FROOTY CHOCOLICIOUSX50,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,FROOTY CHOCO POP 25PCSX40,,1275.65,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,863 (CASE),FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POP 25PCSX40,Sales Income,1275.65,1,Regular,,,-1275.65,,,,,,,,,,FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POPX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0003,,Cost of sales,946,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,863 (CASE),FROOTY CHOCO POP 25PCSX40,Cost of sales,Cost of Sales,,,,,,946,,,,,,,,,,FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POPX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0003,,Cost of sales,,946,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,863 (CASE),FROOTY CHOCO POP 25PCSX40,Cost of sales,Inventory,,,,,,-946,,,,,,,,,,FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POPX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,FRUTOS 50PCSX40,,2908.22,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,2,830 (CASE),FRUTOS 50PCSX40,FRUTOS 50PCSX40,Sales Income,1454.11,1,Regular,,,-2908.22,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0003,,Cost of sales,2260.32,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,2,830 (CASE),FRUTOS 50PCSX40,Cost of sales,Cost of Sales,,,,,,2260.32,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0003,,Cost of sales,,2260.32,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,2,830 (CASE),FRUTOS 50PCSX40,Cost of sales,Inventory,,,,,,-2260.32,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,1100,COL23-02C-0003,,QUICK STEP (OPOL),10327.48,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,,,,QUICK STEP (OPOL),Accounts Receivable,,,,,,10327.48,,,, Opol (P5),,,,,,,,Past Due,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0004,,FRUTOS 50PCSX40,,7270.55,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,5,830 (CASE),FRUTOS 50PCSX40,FRUTOS 50PCSX40,Sales Income,1454.11,1,Regular,,,-7270.55,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0004,,Cost of sales,5650.8,,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,5,830 (CASE),FRUTOS 50PCSX40,Cost of sales,Cost of Sales,,,,,,5650.8,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0004,,Cost of sales,,5650.8,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,5,830 (CASE),FRUTOS 50PCSX40,Cost of sales,Inventory,,,,,,-5650.8,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0004,,FROOTY CHOCO POP 25PCSX40,,5102.6,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,4,863 (CASE),FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POP 25PCSX40,Sales Income,1275.65,1,Regular,,,-5102.6,,,,,,,,,,FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POPX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0004,,Cost of sales,3784,,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,4,863 (CASE),FROOTY CHOCO POP 25PCSX40,Cost of sales,Cost of Sales,,,,,,3784,,,,,,,,,,FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POPX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0004,,Cost of sales,,3784,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,4,863 (CASE),FROOTY CHOCO POP 25PCSX40,Cost of sales,Inventory,,,,,,-3784,,,,,,,,,,FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POPX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0004,,V FRESH WINTER 50PCSX40,,9081.6,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,6,988 (CASE),V FRESH WINTER 50PCSX40,V FRESH WINTER 50PCSX40,Sales Income,1513.6,1,Regular,,,-9081.6,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0004,,Cost of sales,7366.02,,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,6,988 (CASE),V FRESH WINTER 50PCSX40,Cost of sales,Cost of Sales,,,,,,7366.02,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0004,,Cost of sales,,7366.02,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,6,988 (CASE),V FRESH WINTER 50PCSX40,Cost of sales,Inventory,,,,,,-7366.02,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0004,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,,3232.08,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,3,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,YAKEE! SUPER ASIM GUMBALL 25PCSX40,Sales Income,1077.36,1,Regular,,,-3232.08,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0004,,Cost of sales,3008.85,,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,3,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,Cost of sales,Cost of Sales,,,,,,3008.85,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0004,,Cost of sales,,3008.85,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,3,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,Cost of sales,Inventory,,,,,,-3008.85,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0004,,FROOTY BUBBLE POP 25PCSX40,,1315.31,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,829 (CASE),FROOTY BUBBLE POP 25PCSX40,FROOTY BUBBLE POP 25PCSX40,Sales Income,1315.31,1,Regular,,,-1315.31,,,,,,,,,,FROOTY BUBBLE POP 25PCSX40,FROOTY BUBBLE POPX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0004,,FROOTY RAINBOW POP 25PCSX40,,6378.25,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,5,865 (CASE),FROOTY RAINBOW POP 25PCSX40,FROOTY RAINBOW POP 25PCSX40,Sales Income,1275.65,1,Regular,,,-6378.25,,,,,,,,,,FROOTY RAINBOW POP 25PCSX40,FROOTY RAINBOW POPX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0004,,Cost of sales,5000,,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,5,865 (CASE),FROOTY RAINBOW POP 25PCSX40,Cost of sales,Cost of Sales,,,,,,5000,,,,,,,,,,FROOTY RAINBOW POP 25PCSX40,FROOTY RAINBOW POPX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0004,,Cost of sales,,5000,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,5,865 (CASE),FROOTY RAINBOW POP 25PCSX40,Cost of sales,Inventory,,,,,,-5000,,,,,,,,,,FROOTY RAINBOW POP 25PCSX40,FROOTY RAINBOW POPX40,,No,,,,Case,CIFPI
02/01/2023,1100,COL23-02C-0004,,RSS STORE (OPOL),32380.39,,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,,,,RSS STORE (OPOL),Accounts Receivable,,,,,,32380.39,,,RSS STORE, Opol (P5),0935-554-5822,,,,,,,Past Due,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0005,,V FRESH WINTER 50PCSX40,,1513.6,jm003622,SP ENT. (OPOL),,,2/25/23,,,COL23-02C-0005,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,988 (CASE),V FRESH WINTER 50PCSX40,V FRESH WINTER 50PCSX40,Sales Income,1513.6,1,Regular,,,-1513.6,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0005,,Cost of sales,1227.67,,jm003622,SP ENT. (OPOL),,,2/25/23,,,COL23-02C-0005,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,988 (CASE),V FRESH WINTER 50PCSX40,Cost of sales,Cost of Sales,,,,,,1227.67,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0005,,Cost of sales,,1227.67,jm003622,SP ENT. (OPOL),,,2/25/23,,,COL23-02C-0005,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,988 (CASE),V FRESH WINTER 50PCSX40,Cost of sales,Inventory,,,,,,-1227.67,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0005,,JUMBO REG. PACK 25PCSX40,,1064.15,jm003622,SP ENT. (OPOL),,,2/25/23,,,COL23-02C-0005,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,839 (CASE),JUMBO REG. PACK 25PCSX40,JUMBO REG. PACK 25PCSX40,Sales Income,1064.15,1,Regular,,,-1064.15,,,,,,,,,,JUMBO REG. PACK 25PCSX40,JUMBO REG. PACKX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0005,,Cost of sales,909.31,,jm003622,SP ENT. (OPOL),,,2/25/23,,,COL23-02C-0005,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,839 (CASE),JUMBO REG. PACK 25PCSX40,Cost of sales,Cost of Sales,,,,,,909.31,,,,,,,,,,JUMBO REG. PACK 25PCSX40,JUMBO REG. PACKX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0005,,Cost of sales,,909.31,jm003622,SP ENT. (OPOL),,,2/25/23,,,COL23-02C-0005,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,839 (CASE),JUMBO REG. PACK 25PCSX40,Cost of sales,Inventory,,,,,,-909.31,,,,,,,,,,JUMBO REG. PACK 25PCSX40,JUMBO REG. PACKX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0005,,FROOTY BUBBLE POP 25PCSX40,,1315.31,jm003622,SP ENT. (OPOL),,,2/25/23,,,COL23-02C-0005,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,829 (CASE),FROOTY BUBBLE POP 25PCSX40,FROOTY BUBBLE POP 25PCSX40,Sales Income,1315.31,1,Regular,,,-1315.31,,,,,,,,,,FROOTY BUBBLE POP 25PCSX40,FROOTY BUBBLE POPX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0005,,POTCHI STRAWBERRY 50PCSX40,,1473.94,jm003622,SP ENT. (OPOL),,,2/25/23,,,COL23-02C-0005,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,890 (CASE),POTCHI STRAWBERRY 50PCSX40,POTCHI STRAWBERRY 50PCSX40,Sales Income,1473.94,1,Regular,,,-1473.94,,,,,,,,,,POTCHI STRAWBERRY 50PCSX40,POTCHI STRAWBERRY CREAMX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0005,,Cost of sales,1152.76,,jm003622,SP ENT. (OPOL),,,2/25/23,,,COL23-02C-0005,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,890 (CASE),POTCHI STRAWBERRY 50PCSX40,Cost of sales,Cost of Sales,,,,,,1152.76,,,,,,,,,,POTCHI STRAWBERRY 50PCSX40,POTCHI STRAWBERRY CREAMX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0005,,Cost of sales,,1152.76,jm003622,SP ENT. (OPOL),,,2/25/23,,,COL23-02C-0005,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,890 (CASE),POTCHI STRAWBERRY 50PCSX40,Cost of sales,Inventory,,,,,,-1152.76,,,,,,,,,,POTCHI STRAWBERRY 50PCSX40,POTCHI STRAWBERRY CREAMX40,,No,,,,Case,CIFPI
02/01/2023,1100,COL23-02C-0005,,SP ENT. (OPOL),5367,,jm003622,SP ENT. (OPOL),,,2/25/23,,,COL23-02C-0005,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,,,,SP ENT. (OPOL),Accounts Receivable,,,,,,5367,,,SP ENT (OPOL), Opol (P5),0917-880-1058,,,,,,,Past Due,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0006,,V FRESH WINTER 50PCSX40,,1513.6,JM003993,FAIR STORE (OPOL),,,2/25/23,,,COL23-02C-0006,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,988 (CASE),V FRESH WINTER 50PCSX40,V FRESH WINTER 50PCSX40,Sales Income,1513.6,1,Regular,,,-1513.6,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
