ID,Code,Description,Sku Type,Running Inventory
1270,*801,PINGPONG GUM,CASE,27
1271,848,AMERICAN GUMBALL,CASE,4
1272,*802,CHERRY GUM,CASE,4
1273,816,GUMBALLS,CASE,8
1274,832,SUPER BUBBLE,CASE,5
1275,876,YAKEE SUPER ASIM GUM BALL,CASE,679
1276,877,PINTOORA GUMBALL,CASE,397
1277,980,JUMBO GOLF JAR,CASE,0
1278,710,JUMBO CHERRI JAR,CASE,241
1279,979,JUMBO REG. JAR,CASE,1500
1280,931,JUMBO CHERRI PACK,CASE,11
1281,839,JUMBO REG. PACK,CASE,224
1282,145,JUMBO EASTER EGG GUM BALL JAR,CASE,129
1283,146,JUMBO CRAYON GUM BALL JAR,CASE,152
1284,975,I COOL MENTHOLATED GUM,CASE,7
1285,1017,I COOL CHERRY MINT GUM,CASE,10
1286,135,I COOL TWIN HONEY LEMON,CASE,0
1287,943,I COOL MENTHOL BLISTER PACK,CASE,0
1288,1065,TINI WINI,CASE,0
1289,1087,BLOWEE TATTOO GUM,CASE,302
1290,947,V FRESH WINTER BLISTER PACK,CASE,0
1291,860,V FRESH JR.,CASE,0
1292,1988,V FRESH WINTERCOOL JAR,CASE,3
1293,988,V FRESH WINTER COOL GUM,CASE,5077
1294,678,V FRESH AQUA COOL,CASE,3
1295,773,V FRESH WINTER COOL BIG PACK,CASE,0
1296,1083,VFRESH XYLITOL SUGAR FREE,CASE,0
1297,1018,V FRESH SPEARMINT,CASE,11
1298,837,BUTTERKIST,CASE,68
1299,930,I MILK,CASE,5
1300,965,MON'AMI STRAWBERRY CREAM,CASE,53
1301,968,MON'AMI BUTTERCREAM,CASE,5
1302,1102,MON'AMI STRAWBERRY JAR,CASE,163
1303,1103,MON'AMI BUTTER CARAMEL JAR,CASE,0
1304,1101,MONAMI HI CAF? JAR,CASE,0
1305,1099,MONAMI HI CAF?,CASE,0
1306,890,POTCHI STRAWBERRY CREAM,CASE,365
1307,952,POTCHI MINI STRAWBERRY,CASE,0
1308,750,POTCHI STRAWBERRY 50G SP (NEW PACKING),CASE,0
1309,111,POTCHI GUMMI POP JAR,CASE,31
1310,112,POTCHI HOOLA HOOP JAR,CASE,133
1311,749,POTCHI 26 WORMS JAR,CASE,260
1312,1755,POTCHI 26 WORMS STRAP 25G,CASE,0
1313,2136,POTCHI DOTS JAR,CASE,0
1314,1136,POTCHI DOTS STRAP,CASE,0
1315,136,POTCHI DOTS SNACK PACK,CASE,0
1316,2142,POTCHI OCTOPUS JAR,CASE,0
1317,1142,POTCHI OCTOPUS STRAP,CASE,0
1318,2153,POTCHI CLOWN FISH JAR,CASE,0
1319,1750,POTCHI STRAWBERRY STRAP,CASE,0
1320,1071,POTCHI ORANGE PASTILLE,CASE,2
1321,1070,POTCHI CLOWN FISH STRAP,CASE,0
1322,1069,POTCHI HOOLA HOOP STRAP,CASE,0
1323,1859,POTCHI 26 WORMS REFILL PACK,CASE,0
1324,1860,POTCHI BERRY 26 REFILL PACK,CASE,0
1325,1861,POTCHI HOOLA HOOP REFILL PACK,CASE,0
1326,1862,POTCHI CLOWN FISH REFILL PACK,CASE,0
1327,1096,POTCHI FAN-FAN,CASE,0
1328,1080,POTCHI 26 BEAR BARKADA PACK,CASE,0
1329,1076,POTCHI HOOLA HOOP BARKADA PACK,CASE,0
1330,1078,POTCHI STRAWBERRY BARKADA PACK,CASE,0
1331,1095,POTCHI 26 WORMS BARKADA PACK,CASE,0
1332,1079,POTCHI GUMMI POP BARKADA PACK,CASE,0
1333,188,POTCHI CHOCO MALLOWS,CASE,14
1334,149,POTCHI MALLOWS CHOCO BERRY,CASE,2
1335,166,POTCHI CUPCAKE,CASE,0
1336,755,POTCHI 26 WORM SP (NEW PACKING),CASE,0
1337,1077,POTCHI GUMMI BLOCKS SP 45G,CASE,0
1338,1093,POTCHI NUTRI JELLY,CASE,0
1339,891,POTCHI 26 BEARS,CASE,0
1340,865,FROOTY RAINBOW POP,CASE,1290
1341,1098,FROOTY RAINBOW POP SARI2X STORE,CASE,0
1342,772,FROOTY KISSY POP,CASE,0
1343,760,FROOTY RAINBOW POP JAR,CASE,1
1344,725,FROOTY TWIN POP,CASE,146
1345,868,FROOTY CHOCOLICIOUS,CASE,356
1346,719,FROOTY PINTOORA POP,CASE,143
1347,829,FROOTY BUBBLE POP,CASE,184
1348,863,FROOTY CHOCO POP,CASE,314
1349,129,FROOTY CHOCO KISS,CASE,0
1350,1085,FROOTY MILKY POP,CASE,37
1351,969,FROOTY TROPI MIX,CASE,0
1352,808,KOOL'EM  22,CASE,2
1353,809,CHOCO JOY,CASE,908
1354,830,FRUTOS 22,CASE,1513
1355,878,FRUTOS DOUBLICIOUS,CASE,273
1356,907,FRUTOS TROPICAL,CASE,15
1357,1081,FRUTOS SAMPALOK,CASE,15
1358,932,FRUTOS MINI BITS CHEWY STRAP,CASE,0
1359,726,FRUTOS MINI BITS SOUR S.P.,CASE,0
1360,1082,FRUTOS SAMPALOK MINIBITS S.P,CASE,0
1361,1086,FRUTOS MILK TEA,CASE,142
1362,717,FRUTOS CHEWY MINI BITS SP,CASE,0
1363,169,FRUTOS STRAWBERRY MILK SAKE,CASE,6
1364,128,FRIOO COOL CHEWY LEMON MINT,CASE,0
1365,787,CHAMPI CHOCO YEMA,CASE,0
1366,791,CHAMPI CHOCO PREMIUM,CASE,0
1367,792,CHAMPI CHOCO YEMA PREMIUM,CASE,0
1368,971,CHAMPI CHOCOLATE CHEWY,CASE,347
1369,786,CHAMPI KAPE,CASE,0
1370,795,CHAMPI TSOKO PEANUT,CASE,0
1371,1075,CHAMPI TSOKO PEANUT,CASE,0
1372,989,CHAMPI CHOCO ?CLAIR,CASE,3
1373,601,OTSO CHOCOLATE,CASE,88
1374,602,OTSO VANILLA,CASE,1
1375,605,OTSO ORANGE,CASE,6
1376,690,OTSO CHOCO CARAMEL,CASE,0
1377,172,OTSO STRAWBERRY,CASE,1
1378,610,SO LUCKY SODA CRACKER,CASE,10
1379,621,SO LUCKY CHOCOLATE,CASE,3
1380,622,SO LUCKY BUTTER CREAM,CASE,40
1381,623,SO LUCKY LEMON,CASE,17
1382,653,MYBIDA CHOCOLATE,CASE,4
1383,655,MYBIDA MOCHA,CASE,2
1384,656,MYBIDA PEANUT BUTTER,CASE,3
1385,657,MYBIDA COMBO MIX,CASE,3
1386,681,MYBIDA CRACKER,CASE,0
1387,685,CHOCQUIK COOKIE,CASE,53
1388,646,YUPYUP BAKED POTATO BARBEQUE,CASE,0
1389,649,YUPYUP BAKED POTATO SOUR AND CREAM,CASE,0
1390,108,TOPTOP CHOCO PEANUT,CASE,0
1391,109,TOPTOP CHOCO JELLY,CASE,0
1392,110,TOPTOP MILK CHOCOLATE,CASE,0
1393,125,TOPTOP CHOCO CARAMEL,CASE,0
1394,130,TOPTOP CHOCO BAR WITH MINI TOPTOP,CASE,0
1395,140,TOPTOP CHOCO BAR WITH POTCHI JELLY,CASE,0
1396,151,TOPTOP MILK CHOCOLATE SUKI PACK,CASE,0
1397,152,TOPTOP CHOCO PEANUT SUKI PACK,CASE,0
1398,1001,TOPTOP,CASE,0
1399,503,OOLA RICE CRISPY CHOCOLATE,CASE,0
1400,645,CIOCO MARIE,CASE,0
1401,641,CIOCO LUV-LOV CHOCO BALLS,CASE,112
1402,736,MYSNAK PEANUT,CASE,0
1403,737,MYSNAK STRAWBERRY,CASE,0
1404,763,KLICX CRUNCHER MINI,CASE,0
1405,793,CHOCFY PEANUT CARAMEL,CASE,0
1406,1057,CHOCFY CHOCO CARAMEL,CASE,0
1407,2608,KOKOLA CHOCOLATE STRAP,CASE,0
1408,2640,KOKOLA ANIMALS,CASE,0
1409,5606,KOKOLA STRAWBERRY BARKADA SIZE,CASE,161
1410,5608,KOKOLA CHOCOLATE BARKADA SIZE,CASE,6
1411,*912,MYCOCO W/ COOKIE BITS,CASE,74
1412,*922,MYCOCO W/ TOFFEE BITS,CASE,24
1413,*831,MYCOCO W/ COCONUT,CASE,32
1414,*843,CHOCQUIK CHOCOLATE BAR JR. PACK,CASE,0
1415,960,SCHOKO CARAMEL,CASE,3
1416,162,LUVLUV MILK CHOCOLATE SP,CASE,0
1417,995,CHOCFY BUTTER CARAMEL,CASE,0
1418,1048,CHOCQUIK'O  CHOCO MALT TABLET,CASE,0
1419,8089,CHOCQUIK CHOCO BAR,CASE,0
1420,155,3 KINGS TRUFFLE,CASE,0
1421,156,3 KINGS PEANUT,CASE,0
1422,138,CIOCO LUV LUV (CHOCO WAFER BAR),CASE,29
1423,658,TOFIKO CHOCO CRISP,CASE,17
1424,698,TOFIKO MINI BARKADA PACK,CASE,0
1425,727,KLICX CRUNCHER BAR,CASE,0
1426,799,MONMON CHOCOLATE,CASE,0
1427,849,CHOCQUIK FIVE,CASE,64
1643,178,CIOCO LUV LUV CRISPY BALL,Case,0
1645,178,CIOCO LUV LUV CRISPY BALL,Case,0
1647,161,POTCHI CHOCO PEACH MANGO MALLOWS,Case,316
1649,1163,SWEET TREATS,Case,1
1651,697,CHOCQUIK FIVE MINI,Case,0
1653,1168,FRUITY JUICY BUBBLE POP,Case,165
1655,1169,FROOTY FRUIT SHAKE,Case,169
1657,1170,FROOTY CHOCO FUDGE,Case,124
1687,936,FRUTOS MINI BITS CHEWY SOUR STRAP,Case,0
1689,1108,BON GIORNO,Case,0
1691,1161,LUVLUV CHOCO POLVORON,Case,39
1693,153,MYCHOCO MILK CHOCOLATE,Case,0
,176,PRETZEE CHOCOLATE 100PCSX28G,Case,103
,183,POTCHI MY JUIZ ORANGE SNACK PACK,Case,23
